"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         26,           0,          20,           2.3e-06,             1e-07,      -4.454875897,      -1.550835176,       -1.53566459,      0.7928622634,   -0.007757348698,      0.6841956231
         26,           0,          29,           2.3e-06,             1e-07,      -4.548900156,      -1.616598543,      -1.581438861,      0.6873582363,    -0.08564387521,      0.6503044771
         27,           0,           0,           2.4e-06,             1e-07,      -2.242871015,      0.4706394892,      0.2320566798,       3.136589484,       1.961658038,       3.941173328
         27,           0,          10,           2.4e-06,             1e-07,      -4.290008801,      -1.451731693,      -1.454966162,      0.9672434877,     0.09934435721,       1.962853938
         27,           0,          20,           2.4e-06,             1e-07,      -4.448691687,       -1.54559947,      -1.522198393,      0.7996302095,   -0.004737391531,      0.7105071622
         27,           0,          29,           2.4e-06,             1e-07,      -4.541266507,       -1.60936008,      -1.562028734,      0.6981666654,    -0.08262566661,      0.6849662967
         28,           0,           0,           2.5e-06,             1e-07,      -2.243541752,      0.4701349961,      0.2314680111,       3.135343207,       1.959261688,       3.925677024
         28,           0,          10,           2.5e-06,             1e-07,      -4.285303343,      -1.448119569,      -1.442583786,      0.9728224226,      0.1020980529,       1.944149374
         28,           0,          20,           2.5e-06,             1e-07,       -4.44187345,      -1.541876279,      -1.506498559,      0.8092880943,   -0.001852511573,      0.7504538806
         28,           0,          29,           2.5e-06,             1e-07,      -4.533095869,      -1.606015803,      -1.544658487,      0.7117798872,    -0.07974653828,      0.7315976073
         29,           0,           0,           2.6e-06,             1e-07,      -2.244269586,      0.4695369261,      0.2309049416,       3.134002512,       1.957033342,       3.910923982
         29,           0,          10,           2.6e-06,             1e-07,      -4.280643002,        -1.4444792,      -1.429147843,      0.9785233953,      0.1047410176,       1.925539418
         29,           0,          20,           2.6e-06,             1e-07,      -4.434812426,      -1.536929515,      -1.486970394,      0.8200657293,   0.0009073982768,      0.7933090348
         29,           0,          29,           2.6e-06,             1e-07,       -4.52404732,      -1.599538644,      -1.519069571,      0.7287174341,     -0.0769958163,      0.7833639685
         30,           0,           0,           2.7e-06,             1e-07,      -2.245046067,      0.4688526874,      0.2303540069,       3.132582609,       1.954999127,       3.897227797
         30,           0,          10,           2.7e-06,             1e-07,      -4.275769948,      -1.439907379,       -1.41148024,      0.9852290126,      0.1072810428,       1.913663118
         30,           0,          20,           2.7e-06,             1e-07,      -4.427028561,       -1.53001498,      -1.460652066,      0.8336554222,    0.003551689972,       0.842780081
         30,           0,          29,           2.7e-06,             1e-07,      -4.513501619,      -1.589717203,      -1.483993566,      0.7509168378,    -0.07436367239,      0.8425983454
         31,           0,           0,           2.8e-06,             1e-07,      -2.245852297,      0.4681099527,      0.2298064001,       3.131112809,       1.953131757,       3.883343681
         31,           0,          10,           2.8e-06,             1e-07,      -4.270356585,      -1.433667749,      -1.386289561,      0.9941307594,       0.109725045,       1.897455996
         31,           0,          20,           2.8e-06,             1e-07,      -4.417874232,      -1.520013985,      -1.424263949,      0.8521698181,    0.006088905659,      0.8995814086
         31,           0,          29,           2.8e-06,             1e-07,      -4.500493715,      -1.574855366,         -1.436551,      0.7808889275,    -0.07184106053,      0.9131165041
         32,           0,           0,           2.9e-06,             1e-07,      -2.246673452,      0.4673253115,      0.2292627516,       3.129619188,       1.951428729,       3.869740587
         32,           0,          10,           2.9e-06,             1e-07,      -4.263978947,       -1.42364071,      -1.349430608,       1.006513971,       0.112079529,       1.888943185
         32,           0,          20,           2.9e-06,             1e-07,      -4.405974271,      -1.501961194,      -1.369246467,      0.8794447282,    0.008527087203,      0.9761468771
         32,           0,          29,           2.9e-06,             1e-07,      -4.481653442,      -1.546046227,      -1.363253556,      0.8268710666,    -0.06941884643,       1.005315113
         33,           0,           0,             3e-06,             1e-07,      -2.247497693,      0.4665109855,      0.2287264478,       3.128121341,       1.949885117,       3.856713608
         33,           0,          10,             3e-06,             1e-07,      -4.255130608,      -1.404212684,      -1.286857153,       1.027229277,      0.1143506019,       1.884759691
         33,           0,          20,             3e-06,             1e-07,      -4.387092904,      -1.463686143,      -1.276654422,      0.9263733362,     0.01087467309,       1.086000222
         33,           0,          29,             3e-06,             1e-07,      -4.449634089,      -1.481363098,      -1.242239016,      0.9022959269,     -0.0670862749,       1.133191073
         34,           0,           0,           3.1e-06,             1e-07,      -2.248317301,      0.4656834385,      0.2282313966,       3.126634726,       1.948497335,        3.84504259
         34,           0,          10,           3.1e-06,             1e-07,      -4.239703507,       -1.35663579,      -1.175672951,       1.067461852,      0.1165457838,        1.87777723
         34,           0,          20,           3.1e-06,             1e-07,      -4.351170622,      -1.372256107,      -1.124707226,       1.010584002,     0.01314337782,       1.238587518
         34,           0,          29,           3.1e-06,             1e-07,      -4.386707737,      -1.340872196,      -1.057119695,       1.027104279,    -0.06482386671,       1.307797386
         35,           0,           0,           3.2e-06,             1e-07,      -2.249122477,      0.4648648204,       0.227909116,       3.125175027,       1.947259957,       3.833527211
         35,           0,          10,           3.2e-06,             1e-07,      -4.205401788,      -1.240353639,     -0.9906984366,       1.152019222,       0.118678021,       1.879285298
         35,           0,          20,           3.2e-06,             1e-07,      -4.271405982,      -1.186575227,     -0.9004022898,       1.160797585,     0.01536205073,       1.450646795
         35,           0,          29,           3.2e-06,             1e-07,       -4.25465433,      -1.103652668,     -0.8070225466,       1.225614995,    -0.06257066094,       1.540648262
         36,           0,           0,           3.3e-06,             1e-07,      -2.249902014,      0.4641103988,      0.2283110772,       3.123763992,       1.946162525,       3.822200745
         36,           0,          10,           3.3e-06,             1e-07,      -4.118553738,      -1.020290581,      -0.741825603,       1.315704338,      0.1207837192,        1.91967353
         36,           0,          20,           3.3e-06,             1e-07,      -4.116873937,      -0.906858457,     -0.6326410892,       1.375072164,     0.01760868163,       1.694389254
         36,           0,          29,           3.3e-06,             1e-07,      -4.063591156,     -0.7844132918,     -0.5240066187,       1.450902467,    -0.06019342991,       1.780732131
         37,           0,           0,           3.4e-06,             1e-07,      -2.250640553,      0.4636970227,      0.2314841248,       3.122427635,       1.945193873,       3.811895874
         37,           0,          10,           3.4e-06,             1e-07,      -3.984949074,     -0.6837059902,     -0.4363622603,       1.502449032,       0.122922013,       1.993309652
         37,           0,          20,           3.4e-06,             1e-07,      -3.924883388,     -0.5141915649,     -0.2824125673,       1.592577812,     0.02005601812,       1.959854568
         37,           0,          29,           3.4e-06,             1e-07,      -3.809169973,     -0.3485911859,     -0.1279317311,        1.71514024,    -0.05710229918,       2.089108249
         38,           0,           0,           3.5e-06,             1e-07,       -2.25119801,      0.4661190162,      0.2543396127,       3.121420939,       1.944368157,       3.801220484
         38,           0,          10,           3.5e-06,             1e-07,      -3.711277007,     -0.2238119237,    -0.01416091559,       1.802125283,      0.1255559083,       2.218229349
         38,           0,          20,           3.5e-06,             1e-07,       -3.54820979,    -0.02511871203,      0.1771393988,       1.971020592,     0.02458195412,       2.350423529
         38,           0,          29,           3.5e-06,             1e-07,      -3.392705267,      0.1566732738,      0.3562754304,       2.127216491,    -0.04731026178,       2.512830478
         39,           0,           0,           3.6e-06,             1e-07,      -2.250283994,      0.4957297546,      0.4032227876,       3.123069791,       1.943683597,       3.788266427
         39,           0,          10,           3.6e-06,             1e-07,      -3.287603526,      0.2752716854,      0.4764916035,       2.235056631,      0.1337856392,       2.632840378
