"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         122,       -1.94658639,      0.7381685404,      0.2429568116,       3.441007215,     -0.6236109585,       4.945914118
          0,           0,         123,      -1.948991536,      0.7371650825,      0.2429223562,       3.438589258,     -0.6319943314,       4.937140704
          0,           0,         124,      -1.951262629,      0.7361994528,       0.242726337,       3.436381112,     -0.6402499644,       4.928792293
          0,           0,         125,      -1.953399104,      0.7352699927,      0.2423691446,        3.43438453,      -0.648380998,       4.920997358
          0,           0,         126,       -1.95540091,      0.7343752005,      0.2418509438,       3.432599749,     -0.6563890144,       4.913731361
          0,           0,         127,      -1.957268694,      0.7335132514,        0.24117246,       3.431026105,     -0.6642735092,       4.906899757
          0,           0,         128,      -1.959003937,      0.7326817781,      0.2403341311,       3.429661272,     -0.6720399366,       4.900418709
          0,           0,         129,       -1.96060879,       0.731878702,      0.2393369128,       3.428501623,     -0.6796967799,       4.894357826
          0,           0,         130,      -1.962086186,      0.7311019289,       0.238182353,       3.427542422,     -0.6872540108,       4.888378387
          0,           0,         131,      -1.963439569,      0.7303486419,      0.2368718259,       3.426777878,     -0.6947070142,       4.883050284
          0,           0,         132,      -1.964673326,      0.7296168753,      0.2354069296,       3.426200626,     -0.7020570271,       4.878225287
          0,           0,         133,      -1.965792613,      0.7289047289,      0.2337898695,       3.425802202,     -0.7093041438,        4.87372936
          0,           0,         134,      -1.966803715,      0.7282075048,      0.2320224647,       3.425572559,     -0.7164482489,       4.869494129
          0,           0,         135,      -1.967712135,      0.7275256426,        0.23010719,       3.425501601,     -0.7234930845,        4.86521344
          0,           0,         136,      -1.968525821,      0.7268540594,      0.2280475557,       3.425577009,     -0.7304430311,       4.861157078
          0,           0,         137,      -1.969252287,      0.7261893569,      0.2258472118,        3.42578671,     -0.7372991635,       4.857717084
          0,           0,         138,      -1.969899924,       0.725530609,      0.2235101377,       3.426117416,     -0.7440634013,       4.854633619
          0,           0,         139,      -1.970477612,      0.7248720243,      0.2210404349,        3.42655519,     -0.7507366635,       4.851693677
          0,           0,         140,      -1.970994547,      0.7242108399,      0.2184418219,        3.42708582,     -0.7573243947,       4.848890301
          0,           0,         141,      -1.971460222,      0.7235436864,      0.2157190942,       3.427694844,     -0.7638270195,       4.845425434
          0,           0,         142,      -1.971884269,      0.7228655343,      0.2128787755,       3.428367899,     -0.7702453939,       4.842733854
          0,           0,         143,       -1.97227656,      0.7221727042,      0.2099265427,       3.429090405,     -0.7765801023,       4.840479198
          0,           0,         144,      -1.972646917,      0.7214605424,      0.2068687187,        3.42984805,     -0.7828335023,       4.838380432
          0,           0,         145,      -1.973005188,      0.7207247866,      0.2037123505,       3.430626712,     -0.7890079986,       4.836588301
          0,           0,         146,      -1.973361138,      0.7199593957,       0.200465354,       3.431412724,     -0.7951057657,       4.833352356
          0,           0,         147,      -1.973724295,      0.7191605129,      0.1971365531,       3.432192879,     -0.8011266964,       4.831059702
          0,           0,         148,      -1.974104151,        0.71832243,      0.1937355578,        3.43295419,     -0.8070721249,       4.829359927
          0,           0,         149,      -1.974510057,      0.7174391959,      0.1902718925,       3.433684016,     -0.8129443451,       4.827881455
          0,           0,         150,       -1.97495089,      0.7165055798,      0.1867560432,       3.434370527,     -0.8187442221,       4.826454734
          0,           0,         151,      -1.975435381,      0.7155159699,      0.1831998756,       3.435002319,     -0.8244729632,       4.823805858
          0,           0,         152,      -1.975971934,      0.7144643095,      0.1796163497,       3.435568492,     -0.8301312605,       4.822152082
          0,           0,         153,      -1.976568799,      0.7133442331,      0.1760184967,       3.436058316,      -0.835722036,       4.820998005
          0,           0,         154,      -1.977233909,      0.7121507548,      0.1724201952,       3.436461592,     -0.8412465329,       4.820351624
          0,           0,         155,      -1.977974851,      0.7108774229,      0.1688365115,       3.436768702,     -0.8467039719,       4.817941518
          0,           0,         156,      -1.978798967,       0.709518401,      0.1652823115,       3.436970348,       -0.85209506,       4.816469212
          0,           0,         157,      -1.979713245,      0.7080680566,      0.1617737313,       3.437057699,     -0.8574229679,       4.815515932
          0,           0,         158,      -1.980724442,      0.7065212446,      0.1583276086,       3.437022175,     -0.8626903421,       4.814718558
          0,           0,         159,      -1.981839084,       0.704872607,      0.1549608154,       3.436855522,     -0.8678981717,       4.812685218
          0,           0,         160,      -1.983063301,      0.7031167366,      0.1516901113,       3.436549969,      -0.873045926,       4.811510965
          0,           0,         161,      -1.984402986,      0.7012497482,      0.1485318629,       3.436097952,     -0.8781349988,       4.810968958
          0,           0,         162,      -1.985863626,        0.69926708,      0.1455027074,        3.43549245,     -0.8831662724,        4.80912394
          0,           0,         163,      -1.987450399,      0.6971653828,      0.1426191512,       3.434726804,     -0.8881399795,       4.807670832
          0,           0,         164,      -1.989168131,      0.6949408794,      0.1398965969,       3.433794686,     -0.8930586713,       4.806881879
          0,           0,         165,       -1.99102137,        0.69259128,      0.1373490434,       3.432690042,     -0.8979251135,       4.805411871
          0,           0,         166,      -1.993014207,      0.6901144656,      0.1349897991,       3.431407386,     -0.9027394033,       4.803727874
          0,           0,         167,      -1.995150332,      0.6875086585,      0.1328302595,        3.42994168,     -0.9075021164,       4.802743246
          0,           0,         168,      -1.997433039,       0.684773225,      0.1308810665,       3.428288228,     -0.9122137992,       4.801330133
          0,           0,         169,      -1.999865177,      0.6819073049,      0.1291502699,       3.426442948,     -0.9168748585,       4.799440067
          0,           0,         170,      -2.002449103,      0.6789121928,      0.1276442296,       3.424402178,     -0.9214878959,        4.79827943
          0,           0,         171,      -2.005186773,      0.6757881314,      0.1263669398,        3.42216272,     -0.9260534103,       4.796575272
          0,           0,         172,      -2.008079559,      0.6725377131,      0.1253208214,       3.419721965,      -0.930573829,       4.794663481
          0,           0,         173,      -2.011128346,      0.6691627909,      0.1245063061,       3.417077871,     -0.9350506097,       4.793503409
          0,           0,         174,      -2.014333476,      0.6656672185,      0.1239212641,       3.414228816,     -0.9394838337,       4.791387344
          0,           0,         175,      -2.017694708,      0.6620551572,      0.1235616512,       3.411173884,     -0.9438719698,       4.789481296
          0,           0,         176,      -2.021211329,      0.6583312843,      0.1234216142,       3.407912519,     -0.9482178451,       4.788240444
          0,           0,         177,      -2.024881992,      0.6545021468,      0.1234940986,       3.404444871,     -0.9525246514,       4.785712169
          0,           0,         178,       -2.02870489,      0.6505731522,      0.1237700471,        3.40077155,     -0.9567889597,       4.783695096
          0,           0,         179,      -2.032677465,      0.6465527678,      0.1242386986,        3.39689386,     -0.9610121903,       4.781493364
          0,           0,         180,      -2.036796696,      0.6424479665,      0.1248888031,       3.392813657,     -0.9651995259,       4.778939839
          0,           0,         181,      -2.041058967,      0.6382685699,      0.1257080254,       3.388533295,     -0.9693516038,       4.777155227
          0,           0,         182,      -2.045460202,      0.6340232508,      0.1266833226,        3.38405562,     -0.9734649199,        4.77425435
