"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         104,      -1.468894047,       1.554841114,       1.757347129,       4.023560682,        2.29087938,       4.828828089
          0,           0,         105,      -1.479733682,       1.541237787,       1.771434487,       4.016387902,       2.281440709,       4.755204401
          0,           0,         106,      -1.565067714,       1.455823795,        1.63955863,       3.932892974,       2.275084611,       4.641245846
          0,           0,         107,      -1.706593707,       1.164580485,       1.309585837,       3.782539307,       2.273738864,       4.611789042
          0,           0,         108,      -1.742548408,        1.03972773,      0.8120840352,       3.741060146,       2.273775948,       4.615670473
          0,           0,         109,      -1.741538411,       1.030297831,       0.767900125,       3.743541987,       2.273736931,       4.617932096
          0,           0,         110,         -1.740755,       1.029081209,      0.7612201381,        3.74496153,       2.273759554,       4.619263983
          0,           0,         111,      -1.740404152,       1.028595706,      0.7586609687,       3.745567192,       2.273875339,       4.620757599
          0,           0,         112,       -1.74021151,       1.028330025,      0.7571460632,       3.745910978,       2.274095878,       4.622982106
          0,           0,         113,      -1.740055971,       1.028044732,      0.7557714225,       3.746216536,       2.274316792,       4.625198515
          0,           0,         114,      -1.739933423,       1.027749085,      0.7544654057,       3.746469143,        2.27453802,       4.627420191
          0,           0,         115,      -1.739855446,       1.027428476,      0.7532140912,       3.746659836,       2.274759194,       4.629570015
          0,           0,         116,      -1.739801517,       1.027098417,      0.7520224831,       3.746816311,       2.274986897,       4.631681942
          0,           0,         117,      -1.739765666,       1.026786539,      0.7508949581,       3.746944943,       2.275215233,        4.63375439
          0,           0,         118,      -1.739733325,       1.026472308,       0.749800176,       3.747054893,       2.275455333,       4.635785264
          0,           0,         119,      -1.739763401,       1.026153565,      0.7487136473,       3.747083242,       2.275716351,       4.637772028
          0,           0,         120,      -1.739915693,        1.02572215,      0.7475093154,       3.746987357,       2.275976465,       4.639710975
          0,           0,         121,      -1.740130284,       1.025245689,      0.7463100624,       3.746817722,       2.276236033,       4.641603163
          0,           0,         122,      -1.740407729,       1.024740216,      0.7450540034,       3.746574823,       2.276503027,       4.643444994
          0,           0,         123,      -1.740736095,       1.024170346,      0.7438480002,       3.746275333,       2.276768973,       4.645236157
          0,           0,         124,      -1.741109545,       1.023570961,      0.7426374363,       3.745927278,       2.277034038,       4.646974544
          0,           0,         125,      -1.741527793,       1.022937589,      0.7414290483,       3.745530674,       2.277298169,       4.648658961
          0,           0,         126,      -1.741983062,       1.022277184,      0.7402191504,       3.745095374,       2.277561309,       4.650287773
          0,           0,         127,      -1.742452962,       1.021606975,      0.7390972639,       3.744641989,       2.277823406,        4.65186228
          0,           0,         128,      -1.742951215,       1.020913281,      0.7379891852,       3.744160653,        2.27808442,       4.653381873
          0,           0,         129,      -1.743471199,       1.020205907,      0.7368937354,       3.743656425,       2.278344322,       4.654847407
          0,           0,         130,       -1.74402073,       1.019475778,      0.7358022824,       3.743123528,       2.278602901,       4.656258146
          0,           0,         131,       -1.74460395,       1.018718821,       0.734708519,       3.742556861,       2.278860305,       4.657619591
          0,           0,         132,      -1.745207298,       1.017944248,      0.7336487511,        3.74196666,       2.279116562,       4.658927566
