"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      17518,           0,          29,             9e-07,             5e-08,       -3.83520031,     -0.9018176245,      -1.205298995,       1.745578348,      0.5594956369,      0.6239508785
      17519,           0,           0,           9.5e-07,             5e-08,      -2.822893137,      -0.226765439,     -0.5277384468,       2.610902314,       1.432811537,        1.99763507
      17519,           0,          10,           9.5e-07,             5e-08,      -3.827200673,     -0.8919429295,      -1.196252549,       1.754803489,      0.5685046947,      0.6477171478
      17519,           0,          20,           9.5e-07,             5e-08,      -3.831990804,     -0.8975210615,      -1.201297619,       1.749460519,      0.5634932054,      0.6289835907
      17519,           0,          29,           9.5e-07,             5e-08,      -3.835180261,     -0.9018218665,      -1.205352934,       1.745584025,      0.5595018893,      0.6239680514
      17520,           0,           0,             1e-06,             5e-08,      -2.822875025,     -0.2267179154,     -0.5277447231,       2.610913192,       1.432678223,       1.997137481
      17520,           0,          10,             1e-06,             5e-08,      -3.827182113,     -0.8919472116,      -1.196309046,       1.754808805,      0.5685112056,      0.6477782421
      17520,           0,          20,             1e-06,             5e-08,      -3.831971399,     -0.8975253337,      -1.201354032,       1.749465982,      0.5634997419,      0.6290035087
      17520,           0,          29,             1e-06,             5e-08,      -3.835160206,     -0.9018261142,      -1.205408888,       1.745589762,      0.5595085769,      0.6239857353
      17521,           0,           0,          1.05e-06,             5e-08,      -2.822856661,     -0.2266703723,     -0.5277503203,       2.610924166,       1.432545163,       1.996641954
      17521,           0,          10,          1.05e-06,             5e-08,       -3.82716356,     -0.8919514994,      -1.196367048,       1.754814167,      0.5685181159,      0.6478264037
      17521,           0,          20,          1.05e-06,             5e-08,      -3.831952003,     -0.8975296119,      -1.201411979,       1.749471496,      0.5635066809,      0.6290239108
      17521,           0,          29,          1.05e-06,             5e-08,      -3.835140163,     -0.9018303679,      -1.205466415,       1.745595549,      0.5595156628,      0.6240039106
      17522,           0,           0,           1.1e-06,             5e-08,      -2.822837894,     -0.2266227686,     -0.5277549709,       2.610935393,       1.432412361,       1.996148399
      17522,           0,          10,           1.1e-06,             5e-08,      -3.827145016,     -0.8919557934,      -1.196426144,       1.754819574,      0.5685253862,      0.6478680681
      17522,           0,          20,           1.1e-06,             5e-08,      -3.831932613,      -0.897533896,      -1.201471048,       1.749477065,      0.5635139825,       0.629044653
      17522,           0,          29,           1.1e-06,             5e-08,      -3.835120138,     -0.9018346276,      -1.205525111,       1.745601384,      0.5595231078,      0.6240225534
      17523,           0,           0,          1.15e-06,             5e-08,      -2.822818751,     -0.2265751512,     -0.5277586988,       2.610946846,       1.432279817,       1.995655857
      17523,           0,          10,          1.15e-06,             5e-08,      -3.827126483,     -0.8919600932,      -1.196485973,       1.754825026,      0.5685329815,      0.6479103008
      17523,           0,          20,          1.15e-06,             5e-08,      -3.831913231,      -0.897538186,       -1.20153088,       1.749482689,      0.5635216123,      0.6290660398
      17523,           0,          29,          1.15e-06,             5e-08,      -3.835100114,      -0.901838893,      -1.205584601,        1.74560728,      0.5595308773,        0.62404153
      17524,           0,           0,           1.2e-06,             5e-08,      -2.822799304,      -0.226527602,     -0.5277615348,       2.610958459,       1.432147536,       1.995164543
      17524,           0,          10,           1.2e-06,             5e-08,      -3.827108015,     -0.8919643989,       -1.19654625,       1.754830489,      0.5685408717,      0.6479504765
      17524,           0,          20,           1.2e-06,             5e-08,      -3.831893918,     -0.8975424818,      -1.201591176,        1.74948833,      0.5635295346,      0.6290864662
      17524,           0,          29,           1.2e-06,             5e-08,       -3.83508013,     -0.9018431641,      -1.205644573,       1.745613216,      0.5595389252,      0.6240609335
      17525,           0,           0,          1.25e-06,             5e-08,      -2.822779582,     -0.2264801203,     -0.5277635422,       2.610970201,       1.432015521,       1.994674547
      17525,           0,          10,          1.25e-06,             5e-08,       -3.82708956,     -0.8919687105,      -1.196606636,       1.754835995,       0.568549021,       0.647973632
      17525,           0,          20,          1.25e-06,             5e-08,      -3.831874606,     -0.8975467831,      -1.201651612,        1.74949403,      0.5635377168,      0.6291078024
      17525,           0,          29,          1.25e-06,             5e-08,      -3.835060135,     -0.9018474407,      -1.205704732,       1.745619216,      0.5595472433,      0.6240807189
      17526,           0,           0,           1.3e-06,             5e-08,      -2.822759569,     -0.2264327224,     -0.5277646876,       2.610982082,       1.431883774,       1.994184736
      17526,           0,          10,           1.3e-06,             5e-08,      -3.827071115,     -0.8919730278,        -1.1966669,       1.754841546,       0.568557412,      0.6479947861
      17526,           0,          20,           1.3e-06,             5e-08,      -3.831855307,     -0.8975510901,      -1.201711961,       1.749499779,      0.5635461519,      0.6291295343
      17526,           0,          29,           1.3e-06,             5e-08,      -3.835040152,     -0.9018517228,      -1.205764844,       1.745625267,      0.5595558131,      0.6241008581
      17527,           0,           0,          1.35e-06,             5e-08,      -2.822739545,     -0.2263865574,     -0.5277635489,       2.610993901,       1.431752314,       1.993695563
      17527,           0,          10,          1.35e-06,             5e-08,      -3.827052762,     -0.8919773507,      -1.196726879,       1.754847087,      0.5685660319,      0.6480260376
      17527,           0,          20,          1.35e-06,             5e-08,      -3.831836076,     -0.8975554025,      -1.201772037,       1.749505541,      0.5635548196,      0.6291514872
      17527,           0,          29,          1.35e-06,             5e-08,      -3.835020218,     -0.9018560102,      -1.205824713,       1.745631344,      0.5595646139,      0.6241213477
      17528,           0,           0,           1.4e-06,             5e-08,      -2.822719303,      -0.226340755,     -0.5277605944,       2.611005825,       1.431621151,         1.9932091
      17528,           0,          10,           1.4e-06,             5e-08,      -3.827034542,     -0.8919816792,      -1.196786408,       1.754852591,      0.5685748618,      0.6480659372
      17528,           0,          20,           1.4e-06,             5e-08,      -3.831816931,     -0.8975597202,      -1.201831655,       1.749511303,      0.5635637028,      0.6291736071
      17528,           0,          29,           1.4e-06,             5e-08,      -3.835000345,     -0.9018603027,      -1.205884152,       1.745637435,      0.5595736328,      0.6241421825
      17529,           0,           0,          1.45e-06,             5e-08,      -2.822698813,     -0.2262951683,     -0.5277571734,       2.611017857,       1.431490283,        1.99272627
      17529,           0,          10,          1.45e-06,             5e-08,      -3.827016356,     -0.8919860129,      -1.196845257,       1.754858119,      0.5685838932,      0.6481059394
      17529,           0,          20,          1.45e-06,             5e-08,      -3.831797796,     -0.8975640428,      -1.201890601,        1.74951711,      0.5635727924,      0.6291960106
      17529,           0,          29,          1.45e-06,             5e-08,      -3.834980495,        -0.9018646,      -1.205942962,       1.745643564,      0.5595828533,      0.6241633557
      17530,           0,           0,           1.5e-06,             5e-08,      -2.822677891,     -0.2262493794,     -0.5277529455,       2.611030128,       1.431359672,       1.992245344
      17530,           0,          10,           1.5e-06,             5e-08,      -3.826998205,     -0.8919903517,      -1.196903286,       1.754863667,      0.5685931056,      0.6481419946
      17530,           0,          20,           1.5e-06,             5e-08,      -3.831778691,     -0.8975683703,      -1.201948744,       1.749522947,       0.563582065,      0.6292187418
      17530,           0,          29,           1.5e-06,             5e-08,      -3.834960659,      -0.901868902,      -1.206000993,       1.745649735,      0.5595922559,      0.6241848381
      17531,           0,           0,          1.55e-06,             5e-08,      -2.822656778,     -0.2262037498,     -0.5277478577,       2.611042225,       1.431229352,       1.991766568
      17531,           0,          10,          1.55e-06,             5e-08,      -3.826980071,     -0.8919946954,      -1.196960363,       1.754869246,      0.5686024842,      0.6481783892
      17531,           0,          20,          1.55e-06,             5e-08,      -3.831759595,     -0.8975727024,      -1.202005947,       1.749528827,      0.5635915074,      0.6292421617
      17531,           0,          29,          1.55e-06,             5e-08,      -3.834940831,     -0.9018732083,      -1.206058117,        1.74565595,      0.5596018275,      0.6242066052
      17532,           0,           0,           1.6e-06,             5e-08,      -2.822635547,       -0.22615839,     -0.5277419225,       2.611054256,       1.431099321,       1.991289392
      17532,           0,          10,           1.6e-06,             5e-08,       -3.82696195,     -0.8919990436,      -1.197016501,       1.754874856,      0.5686120269,      0.6482265279
