"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         33,           0,          20,           1.5e-06,             5e-08,      -4.477542548,      -1.628530269,      -1.770565369,      0.8734369558,    -0.08937335316,       3.334922333
         33,           0,          29,           1.5e-06,             5e-08,      -4.572411817,      -1.699795879,      -1.815789721,      0.8036832228,     -0.1473627874,       3.151935327
         34,           0,           0,          1.55e-06,             5e-08,      -2.445149978,      0.2700723549,    -0.02851445068,        2.96987468,       1.782061121,       3.836158571
         34,           0,          10,          1.55e-06,             5e-08,      -4.304249215,      -1.495546169,      -1.666422149,       1.017346323,     0.01999427428,       3.542414776
         34,           0,          20,          1.55e-06,             5e-08,      -4.474460641,      -1.628073619,      -1.767122912,      0.8781169657,    -0.09056384132,        3.32209831
         34,           0,          29,          1.55e-06,             5e-08,      -4.569042269,      -1.698450322,      -1.811760209,      0.8089588034,     -0.1469258944,       3.138575772
         35,           0,           0,           1.6e-06,             5e-08,      -2.446016095,      0.2699358728,    -0.02943594115,       2.968497108,       1.779887456,       3.823662585
         35,           0,          10,           1.6e-06,             5e-08,      -4.302313542,      -1.496260285,       -1.66433676,       1.019878425,     0.01737033511,       3.530443414
         35,           0,          20,           1.6e-06,             5e-08,      -4.471368405,      -1.627553674,      -1.763688009,      0.8828212885,    -0.09139634482,       3.309925727
         35,           0,          29,           1.6e-06,             5e-08,      -4.565675939,      -1.697032524,      -1.807751657,      0.8141993221,     -0.1462367274,       3.126108696
         36,           0,           0,          1.65e-06,             5e-08,      -2.446909825,      0.2697363177,    -0.03028400993,       2.967078706,       1.777752913,       3.811939637
         36,           0,          10,          1.65e-06,             5e-08,      -4.300263566,      -1.496773378,      -1.662249959,       1.022698497,     0.01511910599,       3.519106272
         36,           0,          20,          1.65e-06,             5e-08,      -4.468238934,       -1.62690462,       -1.76028129,      0.8875845591,    -0.09191463647,       3.298541161
         36,           0,          29,          1.65e-06,             5e-08,      -4.562293692,       -1.69552511,      -1.803773959,      0.8194323657,     -0.1453071297,       3.114175304
         37,           0,           0,           1.7e-06,             5e-08,      -2.447802104,      0.2694827838,    -0.03110416601,       2.965661396,       1.775674433,       3.801156695
         37,           0,          10,           1.7e-06,             5e-08,      -4.298104437,      -1.497103609,      -1.660174769,       1.025780093,     0.01319081847,       3.509928529
         37,           0,          20,           1.7e-06,             5e-08,      -4.465089712,      -1.626144503,      -1.756902487,      0.8923749384,    -0.09216055602,       3.288975779
         37,           0,          29,           1.7e-06,             5e-08,      -4.558915997,      -1.693943919,      -1.799822942,      0.8246268114,     -0.1441717654,       3.103741339
         38,           0,           0,          1.75e-06,             5e-08,      -2.448675197,       0.269182803,    -0.03193177444,        2.96427031,       1.773657195,       3.791986993
         38,           0,          10,          1.75e-06,             5e-08,      -4.295859969,      -1.497284221,      -1.658111832,       1.029069315,     0.01154962055,       3.500266673
         38,           0,          20,          1.75e-06,             5e-08,      -4.461952547,      -1.625315728,      -1.753551363,      0.8971290889,    -0.09216498166,       3.278175031
         38,           0,          29,          1.75e-06,             5e-08,      -4.555569302,      -1.692327274,      -1.795897698,      0.8297358534,     -0.1428564187,       3.092069447
         39,           0,           0,           1.8e-06,             5e-08,      -2.449516237,      0.2688459194,    -0.03278897367,       2.962925594,       1.771704352,        3.78250654
         39,           0,          10,           1.8e-06,             5e-08,      -4.293568649,      -1.497371037,      -1.656043591,       1.032475845,     0.01016964927,       3.489385851
         39,           0,          20,           1.8e-06,             5e-08,      -4.458860334,      -1.624465767,      -1.750211985,       0.901786156,    -0.09195200782,       3.264775731
         39,           0,          29,           1.8e-06,             5e-08,      -4.552271691,      -1.690697828,      -1.791987814,      0.8347321613,     -0.1413837344,       3.078175879
         40,           0,           0,          1.85e-06,             5e-08,      -2.450321427,      0.2684742713,    -0.03369012168,       2.961633061,       1.769814274,       3.771339832
         40,           0,          10,          1.85e-06,             5e-08,      -4.291256213,      -1.497397491,      -1.653950009,        1.03593641,    0.009025041228,       3.476736273
         40,           0,          20,          1.85e-06,             5e-08,      -4.455817737,      -1.623596206,      -1.746870058,      0.9063403338,    -0.09154886301,       3.253732621
         40,           0,          29,          1.85e-06,             5e-08,      -4.549019082,      -1.689046427,      -1.788087858,      0.8396246947,     -0.1397769798,       3.066637747
         41,           0,           0,           1.9e-06,             5e-08,      -2.451083403,      0.2680743196,    -0.03464106088,       2.960404392,        1.76798639,       3.760811031
         41,           0,          10,           1.9e-06,             5e-08,      -4.288936231,      -1.497372293,      -1.651815852,       1.039425637,        0.00809134,       3.466497446
         41,           0,          20,           1.9e-06,             5e-08,      -4.452818363,      -1.622709904,      -1.743524619,      0.9108015727,    -0.09097512886,       3.244479918
         41,           0,          29,           1.9e-06,             5e-08,      -4.545808208,      -1.687389339,      -1.784201293,      0.8444176908,     -0.1380496938,       3.056459802
         42,           0,           0,          1.95e-06,             5e-08,      -2.451798803,      0.2676515423,    -0.03563948208,       2.959243758,       1.766220758,       3.751818575
         42,           0,          10,          1.95e-06,             5e-08,      -4.286619771,      -1.497328697,      -1.649640621,       1.042912979,    0.007349701892,       3.458382162
         42,           0,          20,          1.95e-06,             5e-08,      -4.449864151,      -1.621834698,      -1.740175882,      0.9151641973,    -0.09024836764,       3.234319844
         42,           0,          29,          1.95e-06,             5e-08,         -4.542635,      -1.685734731,      -1.780326612,      0.8491173376,     -0.1362184468,       3.045705514
         43,           0,           0,             2e-06,             5e-08,      -2.452473837,      0.2672019549,    -0.03668779851,       2.958143054,       1.764522847,       3.743283858
         43,           0,          10,             2e-06,             5e-08,      -4.284315523,      -1.497286541,      -1.647420327,       1.046377043,    0.006784262785,       3.449495836
         43,           0,          20,             2e-06,             5e-08,      -4.446944369,      -1.620971998,      -1.736816286,      0.9194487711,    -0.08937782955,       3.224521111
         43,           0,          29,             2e-06,             5e-08,      -4.539490698,      -1.684087291,      -1.776460307,      0.8537386062,     -0.1342896469,       3.035007284
         44,           0,           0,          2.05e-06,             5e-08,      -2.453105371,      0.2667361113,    -0.03777385436,       2.957106071,       1.762890656,       3.734433976
         44,           0,          10,          2.05e-06,             5e-08,      -4.282021096,      -1.497240642,      -1.645151451,       1.049817976,    0.006379909246,       3.440621189
         44,           0,          20,          2.05e-06,             5e-08,         -4.444052,      -1.620097254,      -1.733447489,       0.923663078,    -0.08838958435,       3.214865645
         44,           0,          29,          2.05e-06,             5e-08,      -4.536370879,      -1.682417408,      -1.772605449,      0.8582873037,     -0.1322874502,       3.024516089
         45,           0,           0,           2.1e-06,             5e-08,      -2.453700788,       0.266252476,    -0.03889400409,       2.956122637,       1.761313331,       3.725650152
         45,           0,          10,           2.1e-06,             5e-08,      -4.279743342,       -1.49716485,       -1.64284227,       1.053221913,     0.00611505027,       3.431789442
         45,           0,          20,           2.1e-06,             5e-08,      -4.441187532,      -1.619186972,      -1.730079479,      0.9278133655,    -0.08729382496,       3.205337584
         45,           0,          29,           2.1e-06,             5e-08,      -4.533273143,      -1.680716364,      -1.768769167,      0.8627726093,     -0.1302166155,       3.014079261
         46,           0,           0,          2.15e-06,             5e-08,      -2.454271556,      0.2657520454,     -0.0400262928,        2.95517903,       1.759777645,       3.716975831
         46,           0,          10,          2.15e-06,             5e-08,      -4.277478361,      -1.497044304,      -1.640514382,       1.056598551,    0.005975010624,       3.423176872
         46,           0,          20,          2.15e-06,             5e-08,      -4.438333301,      -1.618225731,      -1.726720632,      0.9319297315,    -0.08610241713,         3.1960499
         46,           0,          29,          2.15e-06,             5e-08,      -4.530182189,      -1.678975624,      -1.764953474,      0.8672171013,     -0.1280862787,       3.003930497
         47,           0,           0,           2.2e-06,             5e-08,      -2.454823916,      0.2652380043,     -0.0411611736,       2.954265644,       1.758284459,        3.70860481
         47,           0,          10,           2.2e-06,             5e-08,      -4.275211693,      -1.496866217,      -1.638178492,       1.059976262,    0.005947671026,       3.414893856
         47,           0,          20,           2.2e-06,             5e-08,       -4.43548254,      -1.617211523,      -1.723376085,      0.9360228364,    -0.08482482628,       3.187145014
         47,           0,          29,           2.2e-06,             5e-08,      -4.527098839,      -1.677200436,      -1.761160181,      0.8716186427,     -0.1259033923,       2.994139781
         48,           0,           0,          2.25e-06,             5e-08,      -2.455368726,       0.264706283,    -0.04228622343,       2.953366857,       1.756839762,       3.700614438
         48,           0,          10,          2.25e-06,             5e-08,      -4.272940668,        -1.4966301,      -1.635844495,       1.063358078,    0.006023727476,       3.406888711
         48,           0,          20,          2.25e-06,             5e-08,      -4.432638214,      -1.616156011,      -1.720048742,      0.9400857518,    -0.08346768032,       3.178376564
         48,           0,          29,          2.25e-06,             5e-08,      -4.524028243,      -1.675404287,       -1.75739024,        0.87596947,     -0.1236728605,       2.984561513
         49,           0,           0,           2.3e-06,             5e-08,      -2.455913752,      0.2641573434,    -0.04338422005,       2.952471034,        1.75543981,       3.692842344
         49,           0,          10,           2.3e-06,             5e-08,      -4.270667477,      -1.496351099,      -1.633516074,       1.066738575,    0.006196874104,       3.399052714
         49,           0,          20,           2.3e-06,             5e-08,      -4.429808965,      -1.615070096,      -1.716738752,      0.9441037167,    -0.08203886119,       3.169576852
         49,           0,          29,           2.3e-06,             5e-08,      -4.520974986,      -1.673587504,      -1.753643398,      0.8802635069,     -0.1214022578,       2.974756216
         50,           0,           0,          2.35e-06,             5e-08,      -2.456467009,      0.2635926331,    -0.04444549006,       2.951566418,       1.754085068,       3.685115422
         50,           0,          10,          2.35e-06,             5e-08,      -4.268396932,      -1.496025035,      -1.631194986,       1.070108756,    0.006458691358,       3.391497273
